[2016/4/5 - 23:40:53] * LDT Frank da nhan duoc 1 Gift Reset Voucher(s), chuc vui ve!
[2016/4/6 - 2:47:08] * My Trans da nhan duoc 1 Platinum VIP Voucher(s), chuc vui ve!
[2016/4/6 - 2:47:11] * My Trans da nhan duoc 1 Armour, chuc vui ve!
[2016/4/6 - 2:47:28] * My Trans da nhan duoc 5 firework(s), chuc vui ve!
[2016/4/6 - 2:47:32] * My Trans da nhan duoc 1 Seven day Silver VIP Voucher(s), chuc vui ve!
[2016/4/6 - 2:47:35] * My Trans da nhan duoc 1 Quang cao uu tien Voucher(s), chuc vui ve!
[2016/4/6 - 2:47:37] * My Trans da nhan duoc 1 Toy Slot(s), chuc vui ve!
[2016/4/6 - 2:48:08] * Khang CiuTeeee da nhan duoc 1 Quang cao uu tien Voucher(s), chuc vui ve!
[2016/4/6 - 2:48:11] * Khang CiuTeeee da nhan duoc 5 Respect Point(s), chuc vui ve!
[2016/4/6 - 2:48:13] * Khang CiuTeeee da nhan duoc 1 Car Voucher(s), chuc vui ve!
[2016/4/6 - 2:48:16] * Khang CiuTeeee da nhan duoc 1 Quang cao uu tien Voucher(s), chuc vui ve!
[2016/4/6 - 2:48:26] * My Trans da nhan duoc mot BuddyInvite, chuc vui ve!
[2016/4/6 - 2:48:30] * My Trans da nhan duoc 1 Platinum VIP Voucher(s), chuc vui ve!
[2016/4/6 - 2:48:36] * My Trans da nhan duoc 1 Restricted Car Voucher(s), chuc vui ve!
[2016/4/6 - 2:48:39] * My Trans da nhan duoc  Full Health & Armor, chuc vui ve!
[2016/4/6 - 2:51:09] * Khang CiuTeeeee da nhan duoc 1000 Credit(s), chuc vui ve!
[2016/4/6 - 2:51:19] * Khang CiuTeeeee da nhan duoc mot Laser, chuc vui ve!
[2016/4/6 - 2:51:22] * Khang CiuTeeeee da nhan duoc 20 Paintball Token(s), chuc vui ve!
[2016/4/6 - 2:51:24] * Khang CiuTeeeee da nhan duoc 5 Respect Point(s), chuc vui ve!
[2016/4/6 - 2:51:27] * Khang CiuTeeeee da nhan duoc mot BuddyInvite, chuc vui ve!
[2016/4/6 - 2:51:31] * Khang CiuTeeeee da nhan duoc 1 Seven day Silver VIP Voucher(s), chuc vui ve!
[2016/4/6 - 2:51:35] * Khang CiuTeeeee da nhan duoc 1 Toy Slot(s), chuc vui ve!
[2016/4/6 - 2:51:39] * Khang CiuTeeeee da nhan duoc $100,000, chuc vui ve!
[2016/4/6 - 2:51:43] * Khang CiuTeeeee da nhan duoc 1 Toy Slot(s), chuc vui ve!
[2016/4/6 - 2:51:45] * Khang CiuTeeeee da nhan duoc 1 Seven day Gold VIP(s), chuc vui ve!
[2016/4/6 - 2:51:47] * Khang CiuTeeeee da nhan duoc 1 Gift Reset Voucher(s), chuc vui ve!
[2016/4/6 - 2:51:50] * Khang CiuTeeeee da nhan duoc 1 Restricted Car Voucher(s), chuc vui ve!
[2016/4/6 - 2:52:52] * My Transs da nhan duoc 1 Gift Reset Voucher(s), chuc vui ve!
[2016/4/6 - 2:52:55] * My Transs da nhan duoc 1 Mot thang dung Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 2:52:57] * My Transs da nhan duoc mot Custom Toy, chuc vui ve!
[2016/4/6 - 2:52:59] * My Transs da nhan duoc mot Laser, chuc vui ve!
[2016/4/6 - 2:53:02] * My Transs da nhan duoc 1 Car Voucher(s), chuc vui ve!
[2016/4/6 - 2:53:05] * My Transs da nhan duoc 5 VIP Token(s), chuc vui ve!
[2016/4/6 - 2:53:08] * My Transs da nhan duoc mot BuddyInvite, chuc vui ve!
[2016/4/6 - 2:53:12] * My Transs da nhan duoc 10000 Material(s), chuc vui ve!
[2016/4/6 - 2:53:15] * My Transs da nhan duoc 1 Mot thang dung Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 2:53:18] * My Transs da nhan duoc 1 Seven day Gold VIP(s), chuc vui ve!
[2016/4/6 - 2:53:21] * My Transs da nhan duoc 5 VIP Token(s), chuc vui ve!
[2016/4/6 - 2:54:08] * Khang CiuTes da nhan duoc 1 Platinum VIP Voucher(s), chuc vui ve!
[2016/4/6 - 2:54:11] * Khang CiuTes da nhan duoc $100,000, chuc vui ve!
[2016/4/6 - 2:54:13] * Khang CiuTes da nhan duoc 10000 Material(s), chuc vui ve!
[2016/4/6 - 2:54:17] * Khang CiuTes da nhan duoc 1 Restricted Car Voucher(s), chuc vui ve!
[2016/4/6 - 2:54:43] * My Transss da nhan duoc 1 rimkit(s), chuc vui ve!
[2016/4/6 - 2:54:45] * My Transss da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/4/6 - 2:54:48] * My Transss da nhan duoc 1 Platinum VIP Voucher(s), chuc vui ve!
[2016/4/6 - 2:54:50] * My Transss da nhan duoc 1000 Credit(s), chuc vui ve!
[2016/4/6 - 2:54:52] * My Transss da nhan duoc 20 Paintball Token(s), chuc vui ve!
[2016/4/6 - 2:54:54] * My Transss da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/4/6 - 2:54:57] * My Transss da nhan duoc 1 Firstaid(s), chuc vui ve!
[2016/4/6 - 2:54:59] * My Transss da nhan duoc $100,000, chuc vui ve!
[2016/4/6 - 2:55:02] * My Transss da nhan duoc 50 Crack(s), chuc vui ve!
[2016/4/6 - 2:55:05] * My Transss da nhan duoc 1 Armour, chuc vui ve!
[2016/4/6 - 2:55:08] * My Transss da nhan duoc 1 Mot thang dung Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 2:55:10] * My Transss da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/4/6 - 3:00:27] * Khang CiuTes da nhan duoc 1 Platinum VIP Voucher(s), chuc vui ve!
[2016/4/6 - 3:00:28] * Khang CiuTes da nhan duoc mot Custom Toy, chuc vui ve!
[2016/4/6 - 3:00:30] * Khang CiuTes da nhan duoc  Full Health & Armor, chuc vui ve!
[2016/4/6 - 3:00:33] * Khang CiuTes da nhan duoc 1 Seven day Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 3:00:41] * Khang CiuTes da nhan duoc mot Laser, chuc vui ve!
[2016/4/6 - 3:00:42] * My Transsss da nhan duoc mot BuddyInvite, chuc vui ve!
[2016/4/6 - 3:00:44] * My Transsss da nhan duoc 10000 Material(s), chuc vui ve!
[2016/4/6 - 3:00:46] * My Transsss da nhan duoc 5 VIP Token(s), chuc vui ve!
[2016/4/6 - 3:00:48] * My Transsss da nhan duoc 1 Car Slot(s), chuc vui ve!
[2016/4/6 - 3:00:52] * My Transsss da nhan duoc 1 Car Voucher(s), chuc vui ve!
[2016/4/6 - 3:00:54] * My Transsss da nhan duoc 5 VIP Token(s), chuc vui ve!
[2016/4/6 - 3:00:57] * My Transsss da nhan duoc 5 VIP Token(s), chuc vui ve!
[2016/4/6 - 3:00:59] * My Transsss da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/4/6 - 3:01:01] * My Transsss da nhan duoc  Full Health & Armor, chuc vui ve!
[2016/4/6 - 3:01:04] * My Transsss da nhan duoc 1 Restricted Car Voucher(s), chuc vui ve!
[2016/4/6 - 3:01:06] * My Transsss da nhan duoc 5 Respect Point(s), chuc vui ve!
[2016/4/6 - 4:23:13] * Justin Tranz da nhan duoc 5 VIP Token(s), chuc vui ve!
[2016/4/6 - 4:23:16] * Justin Tranz da nhan duoc 20 Paintball Token(s), chuc vui ve!
[2016/4/6 - 4:23:18] * Justin Tranz da nhan duoc 20 Paintball Token(s), chuc vui ve!
[2016/4/6 - 4:23:20] * Justin Tranz da nhan duoc 20 Paintball Token(s), chuc vui ve!
[2016/4/6 - 4:23:22] * Justin Tranz da nhan duoc 1 Car Slot(s), chuc vui ve!
[2016/4/6 - 4:23:25] * Justin Tranz da nhan duoc 20 Paintball Token(s), chuc vui ve!
[2016/4/6 - 4:23:27] * Justin Tranz da nhan duoc 1 Gift Reset Voucher(s), chuc vui ve!
[2016/4/6 - 4:23:29] * Justin Tranz da nhan duoc mot Laser, chuc vui ve!
[2016/4/6 - 4:23:32] * Justin Tranz da nhan duoc 1 Restricted Car Voucher(s), chuc vui ve!
[2016/4/6 - 4:23:35] * Justin Tranz da nhan duoc 1 Mot thang dung Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 4:23:37] * Justin Tranz da nhan duoc mot Laser, chuc vui ve!
[2016/4/6 - 4:27:15] * Justin Tranzz da nhan duoc mot Custom Toy, chuc vui ve!
[2016/4/6 - 4:27:18] * Justin Tranzz da nhan duoc 1 Restricted Car Voucher(s), chuc vui ve!
[2016/4/6 - 4:27:20] * Justin Tranzz da nhan duoc 1 Seven day Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 4:27:22] * Justin Tranzz da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/4/6 - 4:27:24] * Justin Tranzz da nhan duoc 1000 Credit(s), chuc vui ve!
[2016/4/6 - 4:27:26] * Justin Tranzz da nhan duoc 1 Gift Reset Voucher(s), chuc vui ve!
[2016/4/6 - 4:27:28] * Justin Tranzz da nhan duoc  Full Health & Armor, chuc vui ve!
[2016/4/6 - 4:27:30] * Justin Tranzz da nhan duoc 1 Mot thang dung Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 4:27:32] * Justin Tranzz da nhan duoc mot Laser, chuc vui ve!
[2016/4/6 - 4:27:35] * Justin Tranzz da nhan duoc mot Custom Toy, chuc vui ve!
[2016/4/6 - 4:27:38] * Justin Tranzz da nhan duoc 1 Car Voucher(s), chuc vui ve!
[2016/4/6 - 4:27:40] * Justin Tranzz da nhan duoc 1 Platinum VIP Voucher(s), chuc vui ve!
[2016/4/6 - 4:34:29] * Sam Regamay da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/4/6 - 4:55:46] * Justin Tran da nhan duoc 1 Gift Reset Voucher(s), chuc vui ve!
[2016/4/6 - 4:56:07] * Justin Tran da nhan duoc 1 rimkit(s), chuc vui ve!
[2016/4/6 - 4:57:02] * Justin Tran da nhan duoc mot Custom Toy, chuc vui ve!
[2016/4/6 - 4:57:48] * Justin Tran da nhan duoc 1 Car Slot(s), chuc vui ve!
[2016/4/6 - 4:57:51] * Justin Tran da nhan duoc 1 Seven day Silver VIP(s), chuc vui ve!
[2016/4/6 - 4:57:54] * Justin Tran da nhan duoc 50 Crack(s), chuc vui ve!
[2016/4/6 - 4:57:57] * Justin Tran da nhan duoc 50 Crack(s), chuc vui ve!
[2016/4/6 - 5:25:43] * Justin Tran da nhan duoc 1 Mot thang dung Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 5:25:45] * Justin Tran da nhan duoc 1 Seven day Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 5:25:47] * Justin Tran da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/4/6 - 5:25:49] * Justin Tran da nhan duoc 5 Respect Point(s), chuc vui ve!
[2016/4/6 - 6:08:35] * Di cham da nhan duoc 1 Car Voucher(s), chuc vui ve!
[2016/4/6 - 6:08:42] * Di cham da nhan duoc 1 Car Voucher(s), chuc vui ve!
[2016/4/6 - 6:08:47] * Di cham da nhan duoc 20 Paintball Token(s), chuc vui ve!
[2016/4/6 - 6:08:52] * Di cham da nhan duoc 1 Gift Reset Voucher(s), chuc vui ve!
[2016/4/6 - 6:09:06] * Di cham da nhan duoc 1 Firstaid(s), chuc vui ve!
[2016/4/6 - 6:09:13] * Di cham da nhan duoc 1 Armour, chuc vui ve!
[2016/4/6 - 6:09:18] * Di cham da nhan duoc 1 Platinum VIP Voucher(s), chuc vui ve!
[2016/4/6 - 6:27:54] * Di cham da nhan duoc 50 Crack(s), chuc vui ve!
[2016/4/6 - 6:27:58] * Di cham da nhan duoc 1000 Credit(s), chuc vui ve!
[2016/4/6 - 6:28:04] * Di cham da nhan duoc $100,000, chuc vui ve!
[2016/4/6 - 6:28:11] * Di cham da nhan duoc 1 Seven day Silver VIP(s), chuc vui ve!
[2016/4/6 - 6:32:16] * Di cham da nhan duoc 10000 Material(s), chuc vui ve!
[2016/4/6 - 6:32:23] * Di cham da nhan duoc 1000 Credit(s), chuc vui ve!
[2016/4/6 - 6:32:35] * Di cham da nhan duoc 1 Seven day Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 6:32:44] * Nguyen Ngoc Tram da nhan duoc 1 Toy Slot(s), chuc vui ve!
[2016/4/6 - 6:32:46] * Nguyen Ngoc Tram da nhan duoc mot Laser, chuc vui ve!
[2016/4/6 - 6:32:48] * Nguyen Ngoc Tram da nhan duoc 5 firework(s), chuc vui ve!
[2016/4/6 - 6:34:45] * Jay Bradon da nhan duoc 1 Car Slot(s), chuc vui ve!
[2016/4/6 - 6:35:49] * Nguyen Ngoc Tram da nhan duoc 1 Mot thang dung Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 6:35:52] * Nguyen Ngoc Tram da nhan duoc 1 Car Slot(s), chuc vui ve!
[2016/4/6 - 6:36:14] * Nguyen Ngoc Tram da nhan duoc 1 Firstaid(s), chuc vui ve!
[2016/4/6 - 6:36:16] * Nguyen Ngoc Tram da nhan duoc mot Laser, chuc vui ve!
[2016/4/6 - 6:36:18] * Nguyen Ngoc Tram da nhan duoc 10000 vat lieu(s), chuc vui ve!
[2016/4/6 - 6:36:22] * Jay Bradon da nhan duoc 1 Gift Reset Voucher(s), chuc vui ve!
[2016/4/6 - 6:36:28] * Jay Bradon da nhan duoc 1 Mot thang dung Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 6:37:03] * Jay Bradon da nhan duoc 1 Seven day Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 6:37:15] * Jay Bradon da nhan duoc 1 Restricted Car Voucher(s), chuc vui ve!
[2016/4/6 - 6:37:43] * Jay Bradon da nhan duoc 50 Crack(s), chuc vui ve!
[2016/4/6 - 6:37:45] * Jay Bradon da nhan duoc 1 Toy Slot(s), chuc vui ve!
[2016/4/6 - 6:37:46] * Jay Bradon da nhan duoc mot BuddyInvite, chuc vui ve!
[2016/4/6 - 6:37:52] * Jay Bradon da nhan duoc  Full Health & Armor, chuc vui ve!
[2016/4/6 - 6:37:55] * Jay Bradon da nhan duoc 1 Platinum VIP Voucher(s), chuc vui ve!
[2016/4/6 - 6:37:57] * Jay Bradon da nhan duoc 5 firework(s), chuc vui ve!
[2016/4/6 - 6:39:50] * Justin Trans da nhan duoc 1 rimkit(s), chuc vui ve!
[2016/4/6 - 6:39:53] * Justin Trans da nhan duoc 50 Pot(s), chuc vui ve!
[2016/4/6 - 6:39:56] * Justin Trans da nhan duoc 10000 Material(s), chuc vui ve!
[2016/4/6 - 6:39:59] * Justin Trans da nhan duoc mot Custom Toy, chuc vui ve!
[2016/4/6 - 6:40:01] * Justin Trans da nhan duoc 1 Seven day Silver VIP Voucher(s), chuc vui ve!
[2016/4/6 - 6:40:03] * Justin Trans da nhan duoc 1 Seven day Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 6:40:06] * Justin Trans da nhan duoc 5 VIP Token(s), chuc vui ve!
[2016/4/6 - 6:40:08] * Justin Trans da nhan duoc  Full Health & Armor, chuc vui ve!
[2016/4/6 - 6:40:11] * Justin Trans da nhan duoc  Full Health & Armor, chuc vui ve!
[2016/4/6 - 6:40:14] * Justin Trans da nhan duoc 50 Pot(s), chuc vui ve!
[2016/4/6 - 6:40:18] * Justin Trans da nhan duoc 1 Firstaid(s), chuc vui ve!
[2016/4/6 - 6:43:39] * Dau phu da nhan duoc 1 Restricted Car Voucher(s), chuc vui ve!
[2016/4/6 - 6:43:48] * Dau phu da nhan duoc mot Custom Toy, chuc vui ve!
[2016/4/6 - 6:43:53] * Dau phu da nhan duoc 1 Car Voucher(s), chuc vui ve!
[2016/4/6 - 6:43:57] * Dau phu da nhan duoc 1 Firstaid(s), chuc vui ve!
[2016/4/6 - 6:44:02] * Dau phu da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/4/6 - 6:45:53] * Dau phu da nhan duoc 1 Seven day Silver VIP Voucher(s), chuc vui ve!
[2016/4/6 - 6:45:57] * Dau phu da nhan duoc 1 Gift Reset Voucher(s), chuc vui ve!
[2016/4/6 - 6:46:03] * Dau phu da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/4/6 - 6:46:07] * Dau phu da nhan duoc  Full Health & Armor, chuc vui ve!
[2016/4/6 - 6:46:11] * Dau phu da nhan duoc 50 Pot(s), chuc vui ve!
[2016/4/6 - 6:46:25] * Dau phu da nhan duoc 1 Seven day Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 6:46:40] * Dau phu da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/4/6 - 6:47:37] * Justin TR da nhan duoc 1 Mot thang dung Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 6:47:40] * Justin TR da nhan duoc 1 Toy Slot(s), chuc vui ve!
[2016/4/6 - 6:47:42] * Justin TR da nhan duoc 1 Mot thang dung Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 6:47:44] * Justin TR da nhan duoc 5 Respect Point(s), chuc vui ve!
[2016/4/6 - 6:47:46] * Justin TR da nhan duoc mot BuddyInvite, chuc vui ve!
[2016/4/6 - 6:47:48] * Justin TR da nhan duoc 1 Seven day Gold VIP(s), chuc vui ve!
[2016/4/6 - 6:47:50] * Justin TR da nhan duoc 50 Pot(s), chuc vui ve!
[2016/4/6 - 6:47:52] * Justin TR da nhan duoc 50 Pot(s), chuc vui ve!
[2016/4/6 - 6:47:55] * Justin TR da nhan duoc 50 Pot(s), chuc vui ve!
[2016/4/6 - 6:47:56] * Justin TR da nhan duoc 20 Paintball Token(s), chuc vui ve!
[2016/4/6 - 6:47:59] * Justin TR da nhan duoc 1 Seven day Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 6:49:11] * Justin TRS da nhan duoc 1 Car Slot(s), chuc vui ve!
[2016/4/6 - 6:49:14] * Justin TRS da nhan duoc 1 Firstaid(s), chuc vui ve!
[2016/4/6 - 6:49:16] * Justin TRS da nhan duoc mot BuddyInvite, chuc vui ve!
[2016/4/6 - 6:49:18] * Justin TRS da nhan duoc 1 rimkit(s), chuc vui ve!
[2016/4/6 - 6:49:20] * Justin TRS da nhan duoc 1 Restricted Car Voucher(s), chuc vui ve!
[2016/4/6 - 6:50:51] * Boy Hardy da nhan duoc 1 Firstaid(s), chuc vui ve!
[2016/4/6 - 6:50:55] * Boy Hardy da nhan duoc mot BuddyInvite, chuc vui ve!
[2016/4/6 - 6:51:08] * Boy Hardy da nhan duoc 10000 Material(s), chuc vui ve!
[2016/4/6 - 6:51:10] * Boy Hardy da nhan duoc 1 Car Voucher(s), chuc vui ve!
[2016/4/6 - 6:51:24] * Boy Hardy da nhan duoc mot Laser, chuc vui ve!
[2016/4/6 - 6:51:26] * Boy Hardy da nhan duoc 1 Armour, chuc vui ve!
[2016/4/6 - 6:51:28] * Boy Hardy da nhan duoc 1 Car Voucher(s), chuc vui ve!
[2016/4/6 - 6:51:29] * Boy Hardy da nhan duoc 5 VIP Token(s), chuc vui ve!
[2016/4/6 - 6:51:31] * Boy Hardy da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/4/6 - 6:51:33] * Boy Hardy da nhan duoc 5 Respect Point(s), chuc vui ve!
[2016/4/6 - 6:51:35] * Boy Hardy da nhan duoc 1 Armour, chuc vui ve!
[2016/4/6 - 6:56:25] * Big Show da nhan duoc mot Custom Toy, chuc vui ve!
[2016/4/6 - 6:56:31] * Big Show da nhan duoc 1 Armour, chuc vui ve!
[2016/4/6 - 6:56:35] * Big Show da nhan duoc 1 Armour, chuc vui ve!
[2016/4/6 - 6:56:37] * Big Show da nhan duoc 10000 Material(s), chuc vui ve!
[2016/4/6 - 6:56:39] * Big Show da nhan duoc 1 Gift Reset Voucher(s), chuc vui ve!
[2016/4/6 - 6:56:41] * Big Show da nhan duoc 1 Seven day Silver VIP Voucher(s), chuc vui ve!
[2016/4/6 - 6:56:44] * Big Show da nhan duoc 5 Respect Point(s), chuc vui ve!
[2016/4/6 - 6:56:46] * Big Show da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/4/6 - 6:58:52] * Big Show da nhan duoc 10000 Material(s), chuc vui ve!
[2016/4/6 - 6:58:54] * Big Show da nhan duoc  Full Health & Armor, chuc vui ve!
[2016/4/6 - 6:58:56] * Big Show da nhan duoc 5 firework(s), chuc vui ve!
[2016/4/6 - 6:59:12] * Big Show da nhan duoc 1 Platinum VIP Voucher(s), chuc vui ve!
[2016/4/6 - 7:02:57] * Sam Regamay da nhan duoc 1000 Credit(s), chuc vui ve!
